Title,Authors,Pages,Access,URL,Abstract
Localized Brightness–Shape–Moisture Soil Parameterization for Improved PROSAIL-5 Canopy Simulation,"Bonnet, Wessel; Cho, Moses Azong; Chirwa, Paxie W.; Masemola, Cecilia;","March 2, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00146R2,"The mapping and modeling of canopies is important for the understanding, monitoring, and management of vegetation systems. To effectively model or simulate canopy spectra at the hyperspectral level, background soil spectra must first be simulated accurately. Spectrometer data simulation such as this will become increasingly relevant as newer imaging spectroscopy missions such as PRISMA and AVIRIS-NG start to produce more data sets. In this study, the brightness–shape–moisture (BSM) radiative transfer model (RTM) with localized parameter distributions was used in conjunction with the PROSAIL-5 RTM to simulate canopy spectra for different biomes in the semiarid regions of Southern Africa as captured with PRISMA or AVIRIS-NG sensors. It is hypothesized that a PROSAIL-5 RTM with biome-specific BSM parameters can more accurately simulate PRISMA and AVIRIS-NG spectra than a PROSAIL-5 model simulated with the default soil spectrum, as represented by lower relative root mean square error (RRMSE) values against actual spectra. It is demonstrated that the PRISMA and AVIRIS-NG canopy spectra are more effectively simulated using their respective biome-specific BSM parameter regimes, with RRMSE improvements from 14.56% to 13.91% and from 13.64% to 10.71% for two tested images captured with these sensors."
ICTNet: Interactive Convolution and Transformer Network for Hyperspectral Image Classification,"An, Jinliang; Wang, Muzi; Dai, Longlong; Zhang, Weidong;","March 10, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00155R2,"The classification of a hyperspectral image (HSI) plays a critical role and serves as the foundation for many related applications. The combination of convolutional neural networks (CNNs) and transformers has shown promising performance in HSI classification by using the advantages of the two networks. However, existing hybrid models often offer limited feature interaction and fusion between the two branches. Here, a novel interactive convolution and transformer network (ICTNet) for HSI classification is proposed. Specifically, raw HSI is first fed into a multi-scale feature-enhancement module, where convolution operations with varying kernel sizes are used to extract multi-scale features, and shuffle attention is used to further enhance feature representation. Enhanced features are then processed by a dual-branch CNN and transformer fusion module to leverage local information and long-range dependencies. Additionally, the feature interaction and fusion module is proposed to facilitate dynamic interaction and fusion of features during extraction and propagation between the two branches, enhancing the diversity and interactivity of the features. Extensive experimental results on three real HSI data sets demonstrate that the proposed ICTNet outperforms state-of-the-art HSI classification methods."
Evaluating U.S. Geological Survey Three-dimensional Elevation Program Lidar Data as a Source for Building Height,"Liu, Jung-kuan; Shavers, Ethan; Arundel, Samantha T.; Qin, Rongjun;","February 27, 2026",Open Access content,https://doi.org/10.14358/PERS.25-00156R4,"Accurate building height information is used for numerous urban applications, including infrastructure modeling, disaster risk assessment, and energy demand estimation. The U.S. Geological Survey collects airborne lidar data to support the three-dimensional elevation program (3DEP). The high point density and vertical accuracy of the lidar point clouds are optimal for 3D mapping. Few studies have systematically evaluated building height extraction from 3DEP lidar point clouds in urban areas. This study assesses the accuracy and consistency of building height estimates from two publicly available data sets by comparing them to the 3DEP lidar data. The public building height data sets are USA Structures and Microsoft Global Building Footprints (GBF), and they are evaluated across two contrasting urban sites. Building heights from USA Structures are also lidar-derived, whereas GBF estimates are based on stereo matching of optical imagery. Building heights from 3DEP were extracted by classifying lidar points using a deep learning model, isolating roof and ground returns, and computing the height as the median elevation difference between the roof and surrounding ground points. For both sites, 3DEP lidar-derived heights show strong agreement with USA Structures (R² = 0.87 and 0.86; MAE = 1.8 and 2.2 m), confirming the internal consistency and reliability of lidar-derived measurements. In contrast, comparisons with GBF height estimates reveal significantly lower correlations (R² = 0.54 and 0.60; MAE = 2.5 and 3.1 m), highlighting the limitations of imagery-based height reconstruction, particularly in dense or heterogeneous urban environments. These findings indicate that lidar can be used as an accurate source for vertical structure characterization and underscore the benefits of improved integration and bias correction when using imagery-derived building heights. The results provide support for hybrid approaches that combine the broad spatial coverage of optical data sets with the accuracy of lidar for scalable 3D urban mapping."
MFOR: A Benchmark for Multi-scene Military Fine-Grained Object Recognition,"Yan, Qiuyu; Su, Yu; Wang, Shu; Yu, Yongan; Hua, Yixin; Dai, Chenguang;","March 3, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00159R3,"Given the growing demand for military fine-grained object reconnaissance, warning, and intelligence analysis, the automated recognition of military objects using high-resolution remote sensing imagery has become increasingly significant. Nevertheless, the existing remote sensing military object recognition data sets are characterized by a limited number of fine-grained category levels and the difficulty in encompassing the typical military objects. This limits the accurate recognition of military objects in different scenes and lacks the association between different class levels. To address the above issues, this research uses satellite remote sensing data platforms, such as Google Earth and PIE Engine, to collect high-resolution remote sensing image data from developed countries. Military objects are identified across various scenes, including air, sea, and ground. Combined with common related standards, this research uses rotating boxes and a four-level category system (scene, kind, function, and type) to conduct annotations. A military fine-grained object recognition data set named MFOR (for Military Fine-grained Object Recognition; data set download link: https://drive.google.com/file/d/1sjH7p94wM16fPr_shCjZ4o0swDUSVP2N/view?usp=drive_link) has been constructed and made publicly accessible. MFOR is a large-scale military object fine-grained recognition data set that covers different scenes, including sea, land, and air. It consists of 12 633 images, 145 distinct fine-grained categories, and 38 759 object instances. To establish a benchmark for military fine-grained object recognition in remote sensing imagery, this research conducts experiments and analysis on eight rotating frame object recognition networks using the MFOR data set, aiming to offer valuable references for related research."
Reconstructing Heritage Interiors from Point Clouds via Architectural Element Segmentation,"Wang, Feng; Yang, Zexin; Liu, Yang; Zhang, Ming; Ye, Qin; Luo, Junqi;","March 4, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00160R3,"Indoor 3D reconstruction is crucial for digital documentation, preservation, and management of historical buildings by capturing their detailed spatial layouts and architectural structures. However, reconstructing heritage interiors from point clouds remains challenging due to data incompleteness and imperfect segmentation led by complex geometries, occlusions, and intricate spatial arrangements. To address these challenges, we proposed a semantically guided framework for structured 3D reconstruction of historical interiors. Our approach began by extracting architectural elements using learning-based semantic and instance segmentation, augmented by an implicit feature enhancement module. We then generated a 2D floor plan from wall and ceiling points, followed by constructing an enclosure model composed of walls, ceilings, and floors via Markov random field optimization. Remaining structural elements (e.g., beams, columns, windows, and doors) were reconstructed from detected geometric primitives. Finally, we integrated the enclosure model and structural element models into a complete indoor reconstruction. Experiments on point clouds captured by mobile laser scanning, terrestrial laser scanning, and photogrammetry demonstrated that our method achieved superior accuracy, compactness, and computational efficiency compared to existing approaches, validating its robustness across diverse data sources."
Lidar–PTZ Fusion System for Environmental Perception and Analysis Detection,"Ye, Tao; Seo, Minwu; Lee, Chul-Hee;","March 6, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00195R3,"With the rapid proliferation of unmanned aerial vehicles (UAVs), concerns regarding privacy breaches, unauthorized intrusions, and public safety have become increasingly critical. To address these challenges, this study developed a lidar–pan-tilt-zoom (PTZ) camera fusion system for real-time UAV detection and tracking. The proposed approach integrates YOLOv11-based visual detection, PointPillars point-cloud processing, and an adaptive extended Kalman filter (EKF) within a unified framework to achieve robust and temporally consistent target state estimation under sparse observation conditions. A spatially constrained virtual-point augmentation scheme is introduced to improve feature stability and model generalization under sparse lidar point-cloud conditions. Furthermore, a dual-layer fusion EKF strategy is designed to jointly exploit PointPillars detection outputs and adaptive noise–aware centroid measurements, enabling robust dynamic state estimation and continuous tracking even with intermittent data. The proposed system was implemented and evaluated through both public data sets and real-world outdoor experiments. Experimental results demonstrate that the lidar–PTZ fusion system achieves an average positional deviation of ±1.62 m, an effective detection range of about 30 m, and a maximum valid range of approximately 42 m, while maintaining a frame-level detection continuity of 96.8% and operating at around 32 frames/second. The evaluation results demonstrate that the fusion strategy effectively mitigates the limitations of single-sensor detection and provides a reliable foundation for multi-target cooperative sensing and airspace security monitoring applications."
Reserve Identification Model for Oil Tank Based on Satellite Image Analysis under Complex Observation Angles,"Li, Yang; Yang, Jin-Rong; Liu, Ke-Hang; Chen, Hong-Wei;","March 1, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00206R2,"The reserve volume of oil tanks can be obtained through in-depth analysis of satellite images. This approach addresses the urgent demand for precise and rapid acquisition of global oil tank reserves. A novel method for extracting oil tank shadows based on projection characteristics of a cylinder was proposed that extracts the shadows obscured by the oil tank’s side wall under complex observation angles. A preprocessed satellite image was used to extract the oil tank shadow via arc feature extraction, Hough transform, and an edge detection algorithm. Subsequently, a reserve identification model for oil tanks based on geometric projection and shadow boundary extraction was constructed. This model used the parallel projection characteristics of satellite imaging and combined the geometric structure of the oil tank to infer the shadow length by the geometric relationship between the extreme points of the shadow boundary and the tank centers. The oil tank height was then accurately determined, and finally, the reserve was identified using height difference and tank radius. The proposed method was validated through the establishment of a tank experimental system and the application of an oil tank case study from the United Arab Emirates. The research results show that the method exhibited high accuracy and reliability. Through multiple sets of tank experiments, the proposed method yielded a relative error range of 0.49% to 2.14% in identifying the reserve of the tank model. To further verify its accuracy, the method was applied to the 18# oil tank at Jebel Dhanna Port, yielding a relative error of 0.44% in volume identification."
Beyond Global Navigation Satellite Systems–Based Georeferencing: Recent Trends in Positioning and Navigation,"Eid, Mohamedelmustafa Omer; Remondino, Fabio; Toth, Charles;","March 18, 2026",Open Access content,https://doi.org/10.14358/PERS.25-00220R2,"Positioning, navigation, and timing (PNT) information is critical for a range of critical civil, industrial, and defense applications. PNT relies predominantly on global navigation satellite systems (GNSSs), but GNSS signals are becoming increasingly vulnerable to natural and man-made disruptions, which motivated the development of alternative PNT technologies that can complement or substitute GNSS in denied environments. These approaches fall into three categories: opportunistic, infrastructure-based, and environment-based PNT. While numerous studies have examined individual techniques, the literature remains fragmented and lacks a comprehensive review. This paper reviews and synthesizes recent advances across all three categories, highlighting application scenarios, achieved accuracy, and limitations. Opportunistic PNT, i.e., using signals of opportunity, has evolved rapidly over the past decade with the introduction of 5G cellular systems and the large-scale deployment of low Earth orbit constellations, although their accuracy remains at the meter level. Infrastructure-based methods can achieve meter- to subcentimeter-level accuracy, but with trade-offs between accuracy, coverage, and reliability. Environment-based PNT requires no external infrastructure and continues to advance through improvements in visual and lidar simultaneous localization and mapping (SLAM) algorithms, while radar-SLAM offers a more robust alternative in environments where visual- or lidar-based systems may struggle. Despite all these alternatives, GNSS remains unmatched due to decades of infrastructure investment and operational evolution. Future resilient PNT in GNSS-denied environments will rely on adaptive multi-sensor integration, combining ambient signals, dedicated infrastructure, and SLAM to meet application-specific needs."
RSIDetNet: An Efficient Oriented Small Object Detection Model for Remote Sensing Images Based on Cross-Scale Feature Fusion and Large Kernel Decomposition,"Kang, Zizhuang; He, Bing; Luo, Wen; Fu, Ying; He, Wei; Han, Yihui; Jia, Mingquan;","October 22, 2025",Open Access content,https://doi.org/10.14358/PERS.25-00091R3,"Small object detection in remote sensing images is crucial for maximizing data utility, but small objects face challenges due to their limited pixel coverage, low resolution, and susceptibility to background noise. This paper proposes an orientated small object detection model for remote sensing images based on cross-scale feature fusion and large kernel decomposition. The model consists of four main components: the image feature extraction module, the multi-scale feature fusion module, the cross-fusion region proposal network for generating candidate regions, and the dual detection head for predicting target categories and rotating bounding boxes. Experiments are conducted on two datasets, SODA-A and HRSC-2016, and the results show that the proposed model improves the mean average precision (mAP) by at least 6.3% over classical 1-stage models and by at least 2.6% over classical 2-stage model. In particular, when detecting very small objects (area less than 144 pixels), the mAP value is as high as 17.2%, which is a significant improvement compared with other models, indicating that it is very effective in dealing with the difficult task of small object detection."
Enhanced Visual Relocalization: A Cross-Modal Scene Coordinate Regression Approach,"Ma, Wei; Wang, Xinyu; Zhang, Yujie; Zhu, Chao; Dai, Hengming; Ge, Liang;","March 26, 2026",Subscribed content,https://doi.org/10.14358/PERS.25-00191R3,"Visual relocalization finds application across a multitude of domains. Within this realm, scene coordinate regression methods are particularly noteworthy, as they bypass traditional intermediate steps and directly estimate camera pose by regressing 2D–3D point correspondences. However, the model is limited to relying solely on reprojection constraints and is challenged with the task of implicitly triangulating points. Without the guidance of a ground-truth 3D point cloud, the model’s ability to achieve high positioning accuracy is compromised. In this study, we address the challenge by incorporating the concept of cross-modal feature detection loss into our network architecture. We introduce cross-modal feature detection-based scene coordinate regression network (CFDN), a novel network that integrates a randomization technique to blend image-derived features with corresponding pixel positions, camera intrinsics, and ground-truth poses. This integration effectively mitigates correlated gradients, thereby significantly enhancing the efficiency of the training process. The network culminates in a regression layer that maps 2D pixel coordinates to their corresponding 3D scene coordinates with high precision. Notably, we have engineered a novel cross-modal feature detection loss by introducing explicit 3D geometric constraints based on the idea of contrastive learning on top of the 2D reprojection loss to refine the accuracy of scene regression. Empirical results demonstrate that our method achieves state-of-the-art performance. Specifically, CFDN achieves a relocalization accuracy of 97.2% and 99.9% on the indoor 7Scenes and 12Scenes data sets, respectively. In the outdoor Cambridge landmarks data set, it reduces the average median pose error to 17 cm/0.2°, outperforming existing baselines while maintaining a compact model footprint without requiring 3D models or depth maps for supervision."
UAV Lidar vs. Structure-from-Motion (SfM) Photogrammetry for Coastal Dune Monitoring: A Two-Year Multi-Temporal Case Study from the Southern Baltic Sea,"Śledziowski, Jakub;","April 1, 2026",Open Access content,https://doi.org/10.14358/PERS.26-00015R2,"Unmanned aerial vehicles (UAVs) are increasingly used for high-resolution coastal monitoring. This study compares two widely used approaches for deriving digital elevation models (DEMs) from eight repeat UAV surveys (coacquired lidar + red–green–blue [RGB] in the same flight): (1) UAV lidar and (2) structure-from-motion photogrammetry (SfM) based on RGB imagery. A total of 16 DEMs (8 field campaigns in both 2022 and 2023) acquired with a DJI Matrice 300 real-time kinematic drone equipped with a Zenmuse L1 sensor over a 1-km dune–beach system in Mrzeżyno, southern Baltic coast (Poland). Using an automated transect-based workflow (895 cross-shore profiles), shoreline position, beach and dune widths, elevations, slopes, and volumetric change were extracted and related to tide-gauge–based hydrometeorological conditions using deep neural networks and complementary driver-consistency analyses. Both approaches captured consistent temporal trends and converged on the same dominant environmental drivers, with storm activity (event count and duration) together with wave and sea-level conditions explaining most of the observed variability. Differences were largest over water surfaces and locally within vegetation-affected dune areas, where lidar produced fewer artifacts. Despite these local deviations, the net beach + dune volume change between the first and last survey differed by only 0.48% between lidar and SfM, indicating that SfM can provide comparable coastal-change information for many monitoring tasks when survey geometry and quality control are carefully managed."
