"Month","Item Title","Item Type","DOI","Parent Title","Parent Type","Proprietary ID","ISSN","e-ISSN","ISBN","e-ISBN","Year","Volume","Issue","Total Downloads","Article Downloads","Preprint Downloads","PDF Downloads","HTML Downloads","Subscriber Downloads","Free Downloads","Open Access Downloads","Free Trial","Total Abstract Views","Article Abstract Views","Preprint Abstract Views","Publisher"
"2024/10","A Combined Unmixing Framework for Impervious Surface Mapping on Medium-Resolution Images with Visible Shadows","Article","10.14358/pers.87.6.431","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","6","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Deep Multi-Modal Learning Method and a New RGB-Depth Data Set for Building Roof Extraction","Article","10.14358/pers.21-00007r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","10","0","0","0","0","0","0","0","0","0","8","8","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Different Point-of-View — Using Aerial Imagery to Build Stronger Cities","Article","10.14358/pers.89.1.5","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","1","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Digital Terrain Modeling Method in Urban Areas by the ICESat-2 (Generating precise terrain surface profiles from photon-counting technology)","Article","10.14358/pers.87.4.237","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","4","3","3","0","3","0","0","0","3","0","27","27","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Few-Shot Semi-Supervised Learning Method for Remote Sensing Image Scene Classification","Article","10.14358/pers.23-00067r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","2","3","3","0","3","0","3","0","0","0","20","20","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A High-Resolution Satellite DEM Filtering Method Assisted with Building Segmentation","Article","10.14358/pers.87.6.421","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","6","0","0","0","0","0","0","0","0","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A History of Laser Scanning, Part 1: Space and Defense Applications","Article","10.14358/pers.86.7.419","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","7","8","8","0","8","0","0","0","8","0","43","43","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Keyframe Extraction Approach for 3D Videogrammetry Based on Baseline Constraints","Article","10.14358/pers.23-00049r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","3","3","3","0","3","0","3","0","0","0","22","22","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Lightweight Conditional Convolutional Neural Network for Hyperspectral Image Classification","Article","10.14358/pers.22-00130r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","7","4","4","0","4","0","0","0","4","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Low-Cost and Portable Indoor 3D Mapping Approach Using Biaxial Line Laser Scanners and a One-Dimension Laser Range Finder Integrated with Microelectromechanical Systems","Article","10.14358/pers.21-00037r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","5","4","4","0","4","0","0","0","4","0","14","14","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Machine Learning Method for Building Height Estimation Based on Sentinel-2 Bi-Temporal Images","Article","10.14358/pers.22-00054r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","1","7","7","0","7","0","0","0","7","0","56","56","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Matching Optimization Algorithm About Low-Altitude Remote Sensing Images Based on Geometrical Constraint and Convolutional Neural Network","Article","10.14358/pers.21-00063r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","8","3","3","0","3","0","0","0","3","0","13","13","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Method of Extracting High-Accuracy Elevation Control Points from ICESat-2 Altimetry Data","Article","10.14358/pers.21-00009r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","11","6","6","0","6","0","0","0","6","0","33","33","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A New Approach to Land Registry System in Turkey: Blockchain-Based System Proposal","Article","10.14358/pers.86.11.701","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","11","2","2","0","2","0","0","0","2","0","19","19","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Novel Class-Specific Object-Based Method for Urban Change Detection Using High-Resolution Remote Sensing Imagery","Article","10.14358/pers.87.4.249","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","4","4","4","0","4","0","0","0","4","0","14","14","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Novel Object Detection Method for Solid Waste Incorporating a Weighted Deformable Convolution","Article","10.14358/pers.23-00024r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","11","3","3","0","3","0","3","0","0","0","25","25","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Pixel Texture Index Algorithm and Its Application","Article","10.14358/pers.23-00051r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","5","2","2","0","2","0","2","0","0","0","16","16","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Powerful Correspondence Selection Method for Point Cloud Registration Based on Machine Learning","Article","10.14358/pers.23-00046r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","11","3","3","0","3","0","3","0","0","0","21","21","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Real-Time Photogrammetric System for Acquisition and Monitoring of Three-Dimensional Human Body Kinematics","Article","10.14358/pers.87.5.363","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","5","1","1","0","1","0","0","0","1","0","9","9","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Robust Star Identification Algorithm for Resident Space Object Surveillance","Article","10.14358/pers.23-00086r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","9","3","3","0","3","0","3","0","0","0","48","48","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Semi-Supervised Learning Method for Hyperspectral-Image Open Set Classification","Article","10.14358/pers.21-00067r3","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","10","3","3","0","3","0","0","0","3","0","23","23","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Soil and Impervious Surface Adjusted Index for Urban Impervious Surface Area Mapping","Article","10.14358/pers.87.2.91","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","2","2","2","0","2","0","0","0","2","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Surface Water Extraction Method Integrating Spectral and Temporal Characteristics","Article","10.14358/pers.24-00013r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","7","1","1","0","1","0","1","0","0","0","24","24","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Unified Framework of Bundle Adjustment and Feature Matching for High-Resolution Satellite Images","Article","10.14358/pers.87.7.485","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","7","0","0","0","0","0","0","0","0","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","A Variable-Iterative Fully Convolutional Neural Network for Sparse Unmixing","Article","10.14358/pers.24-00038r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","11","1","1","0","1","0","0","1","0","0","23","23","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS 2022 Annual Conference","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","12","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS 2024 Yearbook","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","4","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS 2025 Media Kit","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","11","2","2","0","2","0","0","1","1","0","11","11","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Announces New Sector Insight Editorial Team!","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","9","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Announces Workshops for Geo Week","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","12","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Annual Election Announcement","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","11","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Approves Edition 2, Version 2 of the Asprs Positional Accuracy Standards For Digital Geospatial Data (2024)","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","8","7","7","0","7","0","0","0","7","0","22","22","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Awards Program 2023","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","5","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","8","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","7","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","5","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","5","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","11","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","1","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Certifications","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","8","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Code of Ethics","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","6","0","0","0","0","0","0","0","0","0","6","6","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Media Kit","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","12","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","10","1","1","0","1","0","0","0","1","0","53","53","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","2","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","9","0","0","0","0","0","0","0","0","0","7","7","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","4","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","7","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","8","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","11","1","1","0","1","0","0","1","0","0","9","9","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","6","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","4","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","7","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS News","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","5","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Official Social Media Pages","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","1","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Positional Accuracy Standards for Digital Geospatial Data","Article","10.14358/pers.89.10.589","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","10","3","3","0","3","0","0","0","3","0","29","29","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Positional Accuracy Standards for Digital Geospatial DataEdition 2, Version 2 (2024)","SupplementaryData","10.14358/asprs.pas.2024","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","8","3","3","0","3","0","0","3","0","0","20","20","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Seeks Book Reviewers: ASPRS Seeks Public Contributions for Drafting Best Practices and Guidelines: New ASPRS Members","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","8","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Sustaining Members","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","5","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Sustaining Members","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","8","0","0","0","0","0","0","0","0","0","3","3","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Sustaining Members","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","11","1","1","0","1","0","0","1","0","0","10","10","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Sustaining Members","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","12","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Yearbook — President's Address","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","6","0","0","0","0","0","0","0","0","0","1","1","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","ASPRS Yearbook — President's Address","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","6","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Alternative Procedure to Improve the Positioning Accuracy of Orthomosaic Images Acquired with Agisoft Metashape and DJI P4 Multispectral for Crop Growth Observation","Article","10.14358/pers.21-00064r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","5","8","8","0","8","0","0","0","8","0","38","38","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","America View and its Landsat Connection","Article","10.14358/pers.88.7.421","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","7","0","0","0","0","0","0","0","0","0","2","2","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Evaluation of Pan-Sharpening Methods forSuperView-1Satellite Imagery","Article","10.14358/pers.21-00051r3","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","4","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Improved Approach Based on Terrain-dependent Mathematical Models for Georeferencing Pushbroom Satellite Images","Article","10.14358/pers.87.1.53","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","1","0","0","0","0","0","0","0","0","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Improved GPU-Based Parallel Computing Method for Landscape Index Calculation in Urban Area","Article","10.14358/pers.87.2.125","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","2","0","0","0","0","0","0","0","0","0","8","8","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Improved Method of Refining Relative Orientation in Global Structure from Motion with a Focus on Repetitive Structure and Very Short Baselines","Article","10.14358/pers.86.5.299","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","5","2","2","0","2","0","0","0","2","0","14","14","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Improved YOLO Network for Insulator and Insulator Defect Detection in UAV Images","Article","10.14358/pers.23-00074r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","6","4","4","0","4","0","4","0","0","0","70","70","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Incremental Isomap Method for Hyperspectral Dimensionality Reduction and Classification","Article","10.14358/pers.87.7.445","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","6","0","0","0","0","0","0","0","0","0","14","14","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Integrated Approach for Wildfire Photography Telemetry using WRF Numerical Forecast Products","Article","10.14358/pers.23-00047r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","11","2","2","0","2","0","2","0","0","0","28","28","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","An Optimal GeoAI Workflow for Pan-Arctic Permafrost Feature Detection from High-Resolution Satellite Imagery","Article","10.14358/pers.21-00059r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","3","7","7","0","7","0","0","0","7","0","25","25","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Analyzing the Contribution of Training Algorithms on Deep Neural Networks for Hyperspectral Image Classification","Article","10.14358/pers.86.9.581","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","9","6","6","0","6","0","0","0","6","0","25","25","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Application of Improved YOLO V5s Model for Regional Poverty Assessment Using Remote Sensing Image Target Detection","Article","10.14358/pers.23-00005r3","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","8","2","2","0","2","0","0","0","2","0","13","13","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Application of PCA Analysis and QR Decomposition to Address RFM's Ill-Posedness","Article","10.14358/pers.86.1.17","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","1","0","0","0","0","0","0","0","0","0","12","12","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Applications of Small Unmanned Aircraft Systems: Best Practices and Case Studies","Article","10.14358/pers.90.4.199","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","4","0","0","0","0","0","0","0","0","0","7","7","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Apricot Tree Detection from UAV-Images Using Mask R-CNN and U-Net","Article","10.14358/pers.22-00086r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","2","6","6","0","6","0","0","0","6","0","38","38","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Are You Interested in Participating in Sac Activities...","Article","","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","6","1","1","0","1","0","0","0","1","0","4","4","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Assessing the Impact of Land Use Changes on Net Primary Productivity in Wuhan, China","Article","10.14358/pers.21-00065r3","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","3","0","0","0","0","0","0","0","0","0","5","5","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Assessing the Utility of Uncrewed Aerial System Photogrammetrically Derived Point Clouds for Land Cover Classification in the Alaska North Slope","Article","10.14358/pers.24-00016r1","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","7","10","10","0","10","0","0","0","10","0","31","31","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Assessment of Salt Marsh Change on Assateague Island National Seashore Between 1962 and 2016","Article","10.14358/pers.86.3.187","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2020","86","3","0","0","0","0","0","0","0","0","0","15","15","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Assessment, Specification, and Validation of a Geolocation System's Accuracy and Predicted Accuracy","Article","10.14358/pers.23-00071r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","3","2","2","0","2","0","0","0","2","0","13","13","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Attention Heat Map-Based Black-Box Local Adversarial Attack for Synthetic Aperture Radar Target Recognition","Article","10.14358/pers.24-00015r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","10","4","4","0","4","0","4","0","0","0","103","103","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Augmented Sample-Based Real-Time Spatiotemporal Spectral Unmixing","Article","10.14358/pers.21-00039r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","1","2","2","0","2","0","0","0","2","0","16","16","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Automated 3D Reconstruction of LoD2 and LoD1 Models for All 10 Million Buildings of the Netherlands","Article","10.14358/pers.21-00032r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","3","22","22","0","22","0","0","0","22","0","189","189","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Automatic Registration Method of Multi-Source Point Clouds Based on Building Facades Matching in Urban Scenes","Article","10.14358/pers.22-00069r3","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2022","88","12","3","3","0","3","0","0","0","3","0","13","13","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Automatic Registration of Mobile Mapping System Lidar Points and Panoramic-Image Sequences by Relative Orientation Model","Article","10.14358/pers.21-00006r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2021","87","12","1","1","0","1","0","0","0","1","0","20","20","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Automatic Satellite Images Orthorectification Using K–Means Based Cascaded Meta-Heuristic Algorithm","Article","10.14358/pers.22-00113r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2023","89","5","5","5","0","5","0","0","0","5","0","24","24","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Bank Line Extraction by Integration of Orthoimages and Lidar Digital Elevation Model Using Principal Component Analysis and Alpha Matting","Article","10.14358/pers.21-00078r2","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","10","9","9","0","9","0","0","0","9","0","87","87","0","American Society for Photogrammetry and Remote Sensing"
"2024/10","Best Practices in Evaluating Geospatial Mapping Accuracy according to the New ASPRS Accuracy Standards","Article","10.14358/pers.90.5.265","Photogrammetric Engineering & Remote Sensing","Journal","","0099-1112","","","","2024","90","5","2","2","0","2","0","0","0","2","0","17","17","0","American Society for Photogrammetry and Remote Sensing"
